name,team,age,position,height,weight,last_attended,country,experience,ppg,rpg,apg,pie,birth_year,draft_year,draft_pick,age_drafted,bmi
"Harry Giles III","Portland Trail Blazers",23,Forward-Center,2.11,109,Duke,USA,2,2.9,3.9,0.8,8.9,1998,2017,20,21,24.48282832820467
"Shai Gilgeous-Alexander","Oklahoma City Thunder",22,Guard-Forward,1.98,82,Kentucky,Canada,2,23.7,4.7,5.9,14.6,1998,2018,11,20,20.91623303744516
"Anthony Gill","Washington Wizards",28,Forward,2.01,104,Virginia,USA,0,1.1,1.5,0.2,6.9,1992,Undrafted,Undrafted,28,25.741937080765336
"Freddie Gillespie","Toronto Raptors",23,,2.06,111,Baylor,USA,0,6.1,4,0.6,10.5,1997,Undrafted,Undrafted,23,26.157036478461684
"Rudy Gobert","Utah Jazz",28,Center,2.16,117,Cholet,France,7,14.5,13.6,1.3,16.5,1992,2013,27,21,25.077160493827158
"Brandon Goodwin","Atlanta Hawks",25,Guard,1.83,82,"Florida Gulf Coast",USA,2,4.7,1.4,1.8,7.5,1995,Undrafted,Undrafted,23,24.48565200513601
"Aaron Gordon","Denver Nuggets",25,Forward,2.03,107,Arizona,USA,6,13.3,6.1,3.7,10.2,1995,2014,4,19,25.965201776311005
"Eric Gordon","Houston Rockets",32,Guard,1.91,98,Indiana,USA,12,17.8,2.1,2.6,9.7,1988,2008,7,20,26.863298703434666
"Devonte' Graham","Charlotte Hornets",26,Guard,1.85,88,Kansas,USA,2,14.1,2.7,5.2,10,1995,2018,34,24,25.712198685171657
"Jerami Grant","Detroit Pistons",27,Forward,2.03,95,Syracuse,USA,6,22.5,4.6,2.9,11.5,1994,2014,39,21,23.053216530369586
"Danny Green","Philadelphia 76ers",33,Guard,1.98,98,"North Carolina",USA,11,9.7,3.7,1.7,7.3,1987,2009,46,22,24.997449239873482
"Draymond Green","Golden State Warriors",31,Forward,1.98,104,"Michigan State",USA,8,6.7,6.5,8.5,9.8,1990,2012,35,23,26.527905315784103
"JaMychal Green","Denver Nuggets",30,Forward-Center,2.03,103,Alabama,USA,6,8.3,4.9,0.8,9.5,1990,Undrafted,Undrafted,24,24.994540027663867
"Javonte Green","Chicago Bulls",27,Guard-Forward,1.93,93,Radford,USA,1,3.5,1.9,0.4,6.4,1993,Undrafted,Undrafted,26,24.967113211092915
"Jeff Green","Brooklyn Nets",34,Forward,2.03,107,Georgetown,USA,12,10.3,3.7,1.6,7.6,1986,2007,5,22,25.965201776311005
"Josh Green","Dallas Mavericks",20,Guard,1.96,91,Arizona,Australia,0,2.3,1.9,0.5,5.1,2000,2020,18,20,23.688046647230323
"Blake Griffin","Brooklyn Nets",32,Forward,2.06,113,Oklahoma,USA,10,10.8,4.9,3.3,8.9,1989,2009,1,22,26.628334433028563
"Kyle Guy","Sacramento Kings",23,Guard,1.85,76,Virginia,USA,1,2.9,1,0.9,7.7,1997,2019,55,22,22.205989773557338
"Rui Hachimura","Washington Wizards",23,Forward,2.03,104,Gonzaga,Japan,1,13.5,5.7,1.5,8,1998,2019,9,22,25.237205464825653
"Ashton Hagans",N/A,21,Guard-Forward,1.91,86,Kentucky,USA,0,0,0,0,-25,1999,Undrafted,Undrafted,21,23.573915188728378
"Tyrese Haliburton","Sacramento Kings",21,Guard,1.96,84,"Iowa State",USA,0,12.6,3,5.1,10.1,2000,2020,12,21,21.86588921282799
"Donta Hall","Orlando Magic",23,Center,2.08,104,Alabama,USA,1,4.3,4.3,1.5,12.7,1997,Undrafted,Undrafted,22,24.038461538461537
"Josh Hall","Oklahoma City Thunder",20,Forward,2.06,86,"Moravian Prep (NC)",USA,0,2.6,2,1.3,-0.4,2000,Undrafted,Undrafted,20,20.265812046375718
"R.J. Hampton","Orlando Magic",20,Guard,1.93,79,"New Zealand Breakers",USA,0,4.9,2.7,0.9,6.7,2001,2020,24,20,21.20862305028323
"Tim Hardaway Jr.","Dallas Mavericks",29,Guard-Forward,1.96,93,Michigan,USA,7,15.7,3.3,1.7,9.6,1992,2013,24,22,24.20866305705956
"James Harden","Brooklyn Nets",31,Guard,1.96,100,"Arizona State",USA,11,25.2,8,10.9,17.4,1989,2009,3,20,26.030820491461892
"Maurice Harkless","Sacramento Kings",27,Forward-Guard,2.01,100,"St. John's",USA,8,4.3,2,0.9,4.3,1993,2012,15,19,24.751862577658976
"Jared Harper","New York Knicks",23,Guard,1.78,79,Auburn,USA,1,0.5,0,0,-3.8,1997,Undrafted,Undrafted,22,24.933720489837143
"Montrezl Harrell","Los Angeles Lakers",27,Forward-Center,2.01,109,Louisville,USA,5,13.9,6.6,1.1,15.3,1994,2015,32,22,26.979530209648285
"Gary Harris","Orlando Magic",26,Guard,1.93,95,"Michigan State",USA,6,10.2,2.2,1.8,5.3,1994,2014,19,20,25.50404037692287
"Jalen Harris","Toronto Raptors",22,Guard,1.96,88,Nevada,USA,0,0.8,0.8,0.5,4,1998,2020,59,22,22.907122032486466
"Joe Harris","Brooklyn Nets",29,Guard-Forward,1.98,100,Virginia,USA,6,14.4,3.6,1.8,8.9,1991,2014,33,23,25.507601265177023
"Tobias Harris","Philadelphia 76ers",28,Forward,2.03,103,Tennessee,USA,9,20.4,7.1,3.7,14.9,1992,2011,19,19,24.994540027663867
"Shaquille Harrison","Denver Nuggets",27,Guard,2.01,86,Tulsa,USA,3,1.3,0.5,0.6,5.6,1993,Undrafted,Undrafted,24,21.286601816786717
"Josh Hart","New Orleans Pelicans",26,Guard,1.96,98,Villanova,USA,3,9.2,8,2.3,10,1995,2017,30,23,25.510204081632654
"Isaiah Hartenstein","Cleveland Cavaliers",22,Center-Forward,2.13,113,Zalgiris,Germany,2,5,4.1,1.1,11.1,1998,2017,43,20,24.906874738257404
"Udonis Haslem","Miami Heat",40,Forward,2.03,107,Florida,USA,17,3,4,0.3,10.5,1980,Undrafted,Undrafted,23,25.965201776311005
"Jaxson Hayes","New Orleans Pelicans",20,Center-Forward,2.11,100,Texas-Austin,USA,1,6.3,3.9,0.6,11,2000,2019,8,19,22.46131039284832
"Killian Hayes","Detroit Pistons",19,Guard,1.96,88,"Ratiopharm Ulm",France,0,6.3,2.1,4.3,4.8,2001,2020,7,19,22.907122032486466
"Gordon Hayward","Charlotte Hornets",31,Forward,2.01,102,Butler,USA,10,19.6,5.9,4.1,12.4,1990,2010,9,21,25.246899829212154
"Juancho Hernangomez","Minnesota Timberwolves",25,Forward,2.06,97,Estudiantes,Spain,4,6.9,3.9,0.6,8.8,1995,2016,15,21,22.857950796493544
"Willy Hernangomez","New Orleans Pelicans",26,Center-Forward,2.11,113,"Cajasol Sevilla",Spain,4,6.7,6.4,0.9,12.7,1994,2015,35,22,25.3812807439186
"Tyler Herro","Miami Heat",21,Guard,1.96,88,Kentucky,USA,1,15,4.9,3.4,10.4,2000,2019,13,20,22.907122032486466
"Buddy Hield","Sacramento Kings",28,Guard,1.93,100,Oklahoma,Bahamas,4,16.6,4.5,3.1,7.8,1992,2016,6,24,26.846358291497758
"George Hill","Philadelphia 76ers",34,Guard,1.93,85,"Indiana-Purdue Indianapolis",USA,12,10.8,2.1,2.8,9.8,1986,2008,26,22,22.819404547773097
"Solomon Hill","Atlanta Hawks",30,Forward,1.98,103,Arizona,USA,7,4.7,2.7,1,4.3,1991,2013,23,23,26.272829303132333
"Nate Hinton","Dallas Mavericks",21,Guard-Forward,1.96,95,Houston,USA,0,1.5,0.4,0.3,9.6,1999,Undrafted,Undrafted,21,24.729279466888798
"Jaylen Hoard","Oklahoma City Thunder",22,Forward,2.03,98,"Wake Forest",France,1,6.6,3.7,0.9,7.5,1999,Undrafted,Undrafted,21,23.78121284185494
"Aaron Holiday","Indiana Pacers",24,Guard,1.83,84,UCLA,USA,2,7.2,1.3,1.6,5.4,1996,2018,23,22,25.082863029651524
"Jrue Holiday","Milwaukee Bucks",30,Guard,1.91,93,UCLA,USA,11,17.2,4.5,5.6,12.2,1990,2009,17,19,25.492722238973712
"Justin Holiday","Indiana Pacers",32,Forward-Guard,1.98,82,Washington,USA,7,10.4,3.6,1.6,6.3,1989,Undrafted,Undrafted,25,20.91623303744516
"Rondae Hollis-Jefferson","Portland Trail Blazers",26,Forward,1.98,98,Arizona,USA,5,4,3,1.8,5.6,1995,2015,23,21,24.997449239873482
"Richaun Holmes","Sacramento Kings",27,Forward,2.08,107,"Bowling Green",USA,5,14.1,8.9,1.7,12.1,1993,2015,37,22,24.73187869822485
"Rodney Hood","Toronto Raptors",28,Guard-Forward,2.03,94,Duke,USA,6,4.8,1.9,1.1,3.4,1992,2014,23,22,22.8105510932078
"Al Horford","Oklahoma City Thunder",34,Center-Forward,2.06,109,Florida,"Dominican Republic",13,14.2,6.7,3.4,13.1,1986,2007,3,21,25.68573852389481
"Talen Horton-Tucker","Los Angeles Lakers",20,Guard,1.93,106,"Iowa State",USA,1,8.9,2.8,2.5,9.5,2000,2019,46,19,28.457139788987625
"Danuel House Jr.","Houston Rockets",27,Forward-Guard,1.98,100,"Texas A&M",USA,4,9.3,3.9,1.9,6.7,1993,Undrafted,Undrafted,23,25.507601265177023
"Dwight Howard","Philadelphia 76ers",35,Center-Forward,2.08,120,"SW Atlanta Christian Academy (GA)",USA,16,6.6,8.3,0.8,12.3,1985,2004,1,19,27.73668639053254
"Markus Howard","Denver Nuggets",22,Guard,1.78,79,Marquette,USA,0,1,0.4,0.4,-1,1999,Undrafted,Undrafted,22,24.933720489837143
"Kevin Huerter","Atlanta Hawks",22,Guard-Forward,2.01,86,Maryland,USA,2,12.2,3.4,3.5,7.6,1998,2018,19,20,21.286601816786717
"Elijah Hughes","Utah Jazz",23,Guard,1.96,98,Syracuse,USA,0,1.9,0.5,0.3,8.9,1998,2020,39,23,25.510204081632654
"De'Andre Hunter","Atlanta Hawks",23,Forward-Guard,2.03,102,Virginia,USA,1,16,5.1,2.1,10.8,1997,2019,4,22,24.75187459050208
"Chandler Hutchison","Washington Wizards",24,Forward-Guard,1.98,95,"Boise State",USA,2,3.7,3.3,0.7,4.5,1996,2018,22,22,24.232221201918172
"Serge Ibaka","LA Clippers",31,Forward,2.08,107,"Ricoh Manresa","Republic of the Congo",11,10.9,6.7,1.7,11.2,1989,2008,24,20,24.73187869822485
"Andre Iguodala","Miami Heat",37,Guard-Forward,1.98,98,Arizona,USA,16,4.7,3.7,2.2,7.9,1984,2004,9,21,24.997449239873482
"Ersan Ilyasova","Utah Jazz",33,Forward,2.06,107,"FC Barcelona",Turkey,12,3.7,1.7,0.2,6.8,1987,2005,36,21,25.21444056932793
"Joe Ingles","Utah Jazz",33,Forward-Guard,2.03,100,"Maccabi Tel Aviv",Australia,6,12.4,3.7,4.4,11.9,1987,Undrafted,Undrafted,27,24.26654371617851
"Brandon Ingram","New Orleans Pelicans",23,Forward,2.03,86,Duke,USA,4,24.3,4.9,4.9,13.2,1997,2016,2,19,20.869227595913518
"Kyrie Irving","Brooklyn Nets",29,Guard,1.88,88,Duke,Australia,9,27.4,4.8,6.2,15,1992,2011,1,20,24.898143956541425
"Jonathan Isaac","Orlando Magic",23,Forward,2.11,104,"Florida State",USA,3,11.9,6.8,1.4,10.8,1997,2017,6,20,23.35976280856225
"Wes Iwundu","New Orleans Pelicans",26,Forward,1.98,88,"Kansas State",USA,3,2.7,2.2,0.4,3.9,1994,2017,33,23,22.44668911335578
"Frank Jackson","Detroit Pistons",22,Guard,1.91,93,Duke,USA,2,8.4,1.9,0.7,8.5,1998,2017,31,20,25.492722238973712
"Josh Jackson","Detroit Pistons",24,Guard-Forward,2.03,94,Kansas,USA,3,13.7,4.1,2.1,8.7,1997,2017,4,21,22.8105510932078
"Justin Jackson","Milwaukee Bucks",26,Forward,2.03,100,"North Carolina",USA,3,7.2,2.2,1.5,7.9,1995,2017,15,23,24.26654371617851
"Reggie Jackson","LA Clippers",31,Guard,1.88,94,"Boston College",USA,9,10.4,2.9,3.1,8.9,1990,2011,24,22,26.595744680851066
"Jaren Jackson Jr.","Memphis Grizzlies",21,Forward-Center,2.11,110,"Michigan State",USA,2,15,8,0,17.2,1999,2018,4,19,24.70744143213315
"Justin James","Sacramento Kings",24,Guard-Forward,2.01,86,Wyoming,USA,1,1.8,0.4,0.6,4.3,1997,2019,40,23,21.286601816786717
"LeBron James","Los Angeles Lakers",36,Forward,2.06,113,"St. Vincent-St. Mary HS (OH)",USA,17,25.4,7.9,7.9,19.4,1984,2003,1,19,26.628334433028563
"DaQuan Jeffries","Houston Rockets",23,Guard-Forward,1.96,104,Tulsa,USA,1,3.2,1.6,0.4,4.2,1997,Undrafted,Undrafted,22,27.072053311120367
"Ty Jerome","Oklahoma City Thunder",23,Guard-Forward,1.96,88,Virginia,USA,1,9.9,2.8,3.7,8.5,1997,2019,24,22,22.907122032486466
"Isaiah Joe","Philadelphia 76ers",21,Guard,1.93,75,Arkansas,USA,0,3.2,0.9,0.5,5,1999,2020,49,21,20.13476871862332
"Alize Johnson","Brooklyn Nets",25,Forward,2.01,96,"Missouri State",USA,2,5.3,4.6,0.8,16.7,1996,2018,50,23,23.761788074552616
"Cameron Johnson","Phoenix Suns",25,Forward,2.03,95,"North Carolina",USA,1,9.9,3.3,1.5,8.9,1996,2019,11,24,23.053216530369586
"James Johnson","New Orleans Pelicans",34,Forward,2.01,109,"Wake Forest",USA,11,6.8,3.3,2,7.3,1987,2009,16,23,26.979530209648285
"Keldon Johnson","San Antonio Spurs",21,Forward-Guard,1.96,100,Kentucky,USA,1,12.7,6.4,1.7,9.4,1999,2019,29,20,26.030820491461892
"Stanley Johnson","Toronto Raptors",24,Forward-Guard,1.98,110,Arizona,USA,5,3.4,2.3,1.2,5.4,1996,2015,8,19,28.058361391694724
"Tyler Johnson","Brooklyn Nets",28,Guard,1.91,84,"Fresno State",USA,6,5.4,1.9,0.9,5.9,1992,Undrafted,Undrafted,22,23.025684602944
"Nikola Jokic","Denver Nuggets",26,Center,2.11,129,"Mega Basket",Serbia,5,26.4,11,8.7,19.9,1995,2014,41,21,28.97509040677433
"Damian Jones","Sacramento Kings",25,Center,2.11,111,Vanderbilt,USA,4,3.1,2.3,0.3,6.6,1995,2016,30,21,24.932054536061635
"Mason Jones","Philadelphia 76ers",22,Guard,1.93,91,Arkansas,USA,0,5.4,1.8,1.4,9.5,1998,Undrafted,Undrafted,22,24.43018604526296
"Tre Jones","San Antonio Spurs",21,Guard,1.85,84,Duke,USA,0,1.9,0.4,0.7,8.5,2000,2020,41,21,24.543462381300216
"Tyus Jones","Memphis Grizzlies",24,Guard,1.83,89,Duke,USA,5,6.9,2.1,4,11.4,1996,2015,24,19,26.575890590940304
"Derrick Jones Jr.","Portland Trail Blazers",24,Forward,1.96,95,UNLV,USA,4,7.3,3.9,0.8,6,1997,Undrafted,Undrafted,20,24.729279466888798
"DeAndre Jordan","Brooklyn Nets",32,Center,2.11,120,"Texas A&M",USA,12,7.7,7.4,1.7,11.2,1988,2008,35,20,26.953572471417985
"Cory Joseph","Detroit Pistons",29,Guard,1.91,91,Texas-Austin,Canada,9,7.8,2.5,3.2,7.5,1991,2011,29,20,24.94449165318933
"Mfiondu Kabengele","Cleveland Cavaliers",23,Forward-Center,2.06,113,"Florida State",Canada,1,1.3,0.7,0.2,2,1997,2019,27,22,26.628334433028563
"Frank Kaminsky","Phoenix Suns",28,Forward-Center,2.13,109,Wisconsin,USA,5,6.2,3.6,1.6,10.8,1993,2015,9,23,24.02521545548723
"Enes Kanter","Portland Trail Blazers",28,Center,2.08,113,Fenerbahce,Turkey,9,11.9,11.6,1.3,14.1,1992,2011,3,19,26.118713017751478
"Luke Kennard","LA Clippers",24,Guard,1.96,93,Duke,USA,3,8.5,2.8,1.7,8.6,1996,2017,12,21,24.20866305705956
"Maxi Kleber","Dallas Mavericks",29,Forward,2.08,109,"Bayern Munich",Germany,3,7.1,5.3,1.3,7,1992,Undrafted,Undrafted,26,25.194156804733726
"Nathan Knight","Atlanta Hawks",23,Forward-Center,2.08,115,"William & Mary",USA,0,3.5,1.9,0.2,7.6,1997,Undrafted,Undrafted,23,26.58099112426035
"Kevin Knox II","New York Knicks",21,Forward,2.01,98,Kentucky,USA,2,4.2,1.6,0.5,6.4,1999,2018,9,19,24.256825326105798
"John Konchar","Memphis Grizzlies",25,Guard,1.96,95,"Indiana-Purdue Fort Wayne",USA,1,3.8,2.8,1.1,8.3,1996,Undrafted,Undrafted,24,24.729279466888798
"Furkan Korkmaz","Philadelphia 76ers",23,Guard-Forward,2.01,92,"Anadolu Efes",Turkey,3,9.5,2.1,1.3,9,1997,2016,26,20,22.771713571446256
"Luke Kornet","Boston Celtics",25,Forward-Center,2.18,113,Vanderbilt,USA,3,2.9,1.9,0.6,8.3,1995,Undrafted,Undrafted,22,23.777459809780318
"Rodions Kurucs","Milwaukee Bucks",23,Forward,2.06,103,"FC Barcelona",Latvia,2,1.5,1.2,0.5,5.1,1998,2018,40,21,24.271844660194176
"Kyle Kuzma","Los Angeles Lakers",25,Forward,2.08,100,Utah,USA,3,12.8,6.5,1.8,9.6,1995,2017,27,22,23.113905325443785
"Zach LaVine","Chicago Bulls",26,Guard-Forward,1.96,91,UCLA,USA,6,27.5,5.1,5.1,14.1,1995,2014,13,20,23.688046647230323
"Anthony Lamb","Houston Rockets",23,Forward,1.98,103,Vermont,USA,0,2.3,2.4,0.4,2.3,1998,Undrafted,Undrafted,23,26.272829303132333
"Jeremy Lamb","Indiana Pacers",28,Guard-Forward,1.96,82,Connecticut,USA,8,10.1,3.6,1.5,9.8,1992,2012,12,20,21.345272802998753
"Romeo Langford","Boston Celtics",21,Guard-Forward,1.93,98,Indiana,USA,1,2.4,2.3,0.8,3.3,1999,2019,14,20,26.309431125667803
"Jake Layman","Minnesota Timberwolves",27,Forward,2.03,95,Maryland,USA,4,5.3,1.5,0.7,7.4,1994,2016,47,23,23.053216530369586
"Caris LeVert","Indiana Pacers",26,Guard,1.98,93,Michigan,USA,4,18.5,4.5,4.8,11.2,1994,2016,20,22,23.72206917661463
"T.J. Leaf","Portland Trail Blazers",23,Forward,2.08,101,UCLA,USA,3,3,2.5,0.3,9.2,1997,2017,18,20,23.345044378698223
"Jalen Lecque",N/A,20,Guard,1.93,84,"Brewster Academy (NH)",USA,1,1.3,1.3,0.5,12,2000,Undrafted,Undrafted,19,22.550940964858118
"Damion Lee","Golden State Warriors",28,Guard-Forward,1.96,95,Louisville,USA,3,6.5,3.2,1.3,8.8,1992,Undrafted,Undrafted,25,24.729279466888798
"Saben Lee","Detroit Pistons",21,Guard,1.88,83,Vanderbilt,USA,0,5.4,2.1,3.4,9.7,1999,2020,38,21,23.48347668628339
"Alex Len","Washington Wizards",27,Center,2.13,113,Maryland,Ukraine,7,6.6,3.8,0.8,9.6,1993,2013,5,20,24.906874738257404
"Kawhi Leonard","LA Clippers",29,Forward,2.01,102,"San Diego State",USA,9,25.7,6.7,5.1,17.2,1991,2011,15,20,25.246899829212154
"Meyers Leonard",N/A,29,Foward-Center,2.13,118,Illinois,USA,8,3.3,2.3,0.7,6.7,1992,2012,11,21,26.008948841720123
"Kira Lewis Jr.","New Orleans Pelicans",20,Guard,1.85,77,Alabama,USA,0,6.5,1.2,2.3,6.8,2001,2020,13,20,22.498173849525198
"Damian Lillard","Portland Trail Blazers",30,Guard,1.88,88,"Weber State",USA,8,28.6,4.2,7.6,15.4,1990,2012,6,22,24.898143956541425
"Nassir Little","Portland Trail Blazers",21,Forward-Guard,1.96,100,"North Carolina",USA,1,5,2.9,0.5,7.6,2000,2019,25,20,26.030820491461892
"Kevon Looney","Golden State Warriors",25,Forward,2.06,101,UCLA,USA,5,3.9,4.7,1.9,8.2,1996,2015,30,20,23.800546705627298
"Brook Lopez","Milwaukee Bucks",33,Center,2.13,128,Stanford,USA,12,11.7,5.1,0.7,8.2,1988,2008,10,21,28.213097048645555
"Robin Lopez","Washington Wizards",33,Center,2.13,127,Stanford,USA,12,8.8,3.9,0.8,9.6,1988,2008,15,21,27.99268222795301
"Kevin Love","Cleveland Cavaliers",32,Forward-Center,2.03,114,UCLA,USA,12,11.7,6.6,2.3,11.9,1988,2008,5,20,27.663859836443503
"Kyle Lowry","Toronto Raptors",35,Guard,1.83,89,Villanova,USA,14,17,5.5,7.2,11.4,1986,2006,24,21,26.575890590940304
"Timothe Luwawu-Cabarrot","Brooklyn Nets",25,Guard-Forward,2.01,100,"Mega Basket",France,4,6.7,2.4,1.2,4.5,1995,2016,24,21,24.751862577658976
"Trey Lyles","San Antonio Spurs",25,Forward,2.06,106,Kentucky,Canada,5,5,3.7,0.6,9.8,1995,2015,12,20,24.97879159204449
"Will Magnay",N/A,22,Center,2.08,106,Australia,Australia,0,0,0,0,-17.1,1998,Undrafted,Undrafted,22,24.500739644970412
"Thon Maker",N/A,24,Foward-Center,2.13,100,"Athlete Institute Prep","South Sudan",4,3.8,2.3,0.5,13.4,1997,2016,10,20,22.04148206925434
"Theo Maledon","Oklahoma City Thunder",19,Guard,1.93,79,Asvel,France,0,9.7,3.5,3.4,6.1,2001,2020,34,19,21.20862305028323
"Karim Mane",N/A,20,Guard,1.91,86,Vanier,Senegal,0,1.1,1.4,0.4,1.7,2000,Undrafted,Undrafted,20,23.573915188728378
"Terance Mann","LA Clippers",24,Guard-Forward,1.96,98,"Florida State",USA,1,6.6,3.7,1.7,8.6,1996,2019,48,23,25.510204081632654
"Nico Mannion","Golden State Warriors",20,Guard,1.88,86,Arizona,Italy,0,4.4,1.5,2.3,7,2001,2020,48,20,24.332277048438208
"Boban Marjanovic","Dallas Mavericks",32,Center,2.24,132,"Crvena zvezda",Serbia,5,4.9,4.4,0.3,14.7,1988,Undrafted,Undrafted,27,26.30739795918367
"Lauri Markkanen","Chicago Bulls",23,Forward-Center,2.13,109,Arizona,Finland,3,14.5,5.3,0.9,10.9,1997,2017,7,20,24.02521545548723
"Naji Marshall","New Orleans Pelicans",23,Forward,2.01,100,Xavier,USA,0,5.8,3.4,2.6,8.2,1998,Undrafted,Undrafted,23,24.751862577658976
"Caleb Martin","Charlotte Hornets",25,Forward,1.96,93,Nevada-Reno,USA,1,5,2.8,1.2,7,1995,Undrafted,Undrafted,24,24.20866305705956
"Cody Martin","Charlotte Hornets",25,Forward,1.96,93,Nevada-Reno,USA,1,3.8,2.7,1.6,7.2,1995,2019,36,24,24.20866305705956
"Kelan Martin","Indiana Pacers",25,Forward,1.96,104,Butler,USA,1,2.1,1.2,0.3,7.6,1995,Undrafted,Undrafted,24,27.072053311120367
"Kenyon Martin Jr.","Houston Rockets",20,Forward,1.98,98,"IMG Academy (FL)",USA,0,6.7,4.7,0.6,9,2001,2020,52,20,24.997449239873482
"Frank Mason",N/A,27,Guard,1.8,86,Kansas,USA,3,6.3,3,3,5.9,1994,2017,34,24,26.54320987654321
"Garrison Mathews","Washington Wizards",24,Guard,1.96,98,Lipscomb,USA,1,5.8,1.4,0.5,5.2,1996,Undrafted,Undrafted,23,25.510204081632654
"Dakota Mathias",N/A,25,Guard,1.93,91,Purdue,USA,0,6,0.9,1.6,6.2,1995,2018,,25,24.43018604526296
"Wesley Matthews","Los Angeles Lakers",34,Guard,1.93,100,Marquette,USA,11,4.6,1.6,0.9,3.9,1986,Undrafted,Undrafted,23,26.846358291497758
"Tyrese Maxey","Philadelphia 76ers",20,Guard,1.88,91,Kentucky,USA,0,7.2,1.5,1.7,9.3,2000,2020,21,20,25.746944318696244
"Skylar Mays","Atlanta Hawks",23,Guard,1.93,93,"Louisiana State",USA,0,3.3,1,0.8,10.2,1997,2020,50,23,24.967113211092915
"Patrick McCaw",N/A,25,Guard,2.01,82,UNLV,USA,4,1,0.6,0.8,5.7,1995,2016,38,21,20.29652731368036
"CJ McCollum","Portland Trail Blazers",29,Guard,1.91,86,Lehigh,USA,7,23.2,4.1,4.8,12.5,1991,2013,10,22,23.573915188728378
"T.J. McConnell","Indiana Pacers",29,Guard,1.85,86,Arizona,USA,5,8.3,3.6,6.5,12,1992,2015,,24,25.127830533235937
"Jaden McDaniels","Minnesota Timberwolves",20,Forward,2.06,84,Washington,USA,0,6.8,3.6,1.1,5.2,2000,2020,28,20,19.794514091808843
"Jalen McDaniels","Charlotte Hornets",23,Forward-Center,2.06,93,"San Diego State",USA,1,6.5,2.8,0.9,6.1,1998,2019,52,22,21.91535488735979
"Doug McDermott","Indiana Pacers",29,Forward,2.01,102,Creighton,USA,6,12.9,3.6,1.3,9.6,1992,2014,11,23,25.246899829212154
"Sean McDermott","Memphis Grizzlies",24,Forward,1.98,88,Butler,USA,0,2.3,1.1,0.2,5.2,1996,Undrafted,Undrafted,24,22.44668911335578
"JaVale McGee","Denver Nuggets",33,Center-Forward,2.13,122,Nevada-Reno,USA,12,7.6,5.1,0.9,12.6,1988,2008,18,21,26.890608124490296
"Rodney McGruder","Detroit Pistons",29,Guard,1.93,93,"Kansas State",USA,4,5.7,1.4,1,9.7,1991,Undrafted,Undrafted,25,24.967113211092915
"Alfonzo McKinnie","Los Angeles Lakers",28,Forward,2.01,98,"Wisconsin-Green Bay",USA,3,3,1.4,0.2,10.4,1992,Undrafted,Undrafted,25,24.256825326105798
"Jordan McLaughlin","Minnesota Timberwolves",25,Guard,1.8,84,"Southern California",USA,1,5.2,2.1,4.2,9.3,1996,Undrafted,Undrafted,24,25.925925925925924
"Ben McLemore","Los Angeles Lakers",28,Guard,1.91,88,Kansas,USA,7,7.6,2,0.8,5.5,1993,2013,7,21,24.12214577451276
"Nicolo Melli","Dallas Mavericks",30,Forward,2.06,107,Fenerbahce,Italy,1,2.3,2.5,1,5.5,1991,Undrafted,Undrafted,29,25.21444056932793
"De'Anthony Melton","Memphis Grizzlies",22,Guard,1.88,91,"Southern California",USA,2,10.3,3.2,2.7,11.6,1998,2018,46,20,25.746944318696244
"Sam Merrill","Milwaukee Bucks",24,Guard,1.93,93,"Utah State",USA,0,2.9,1,0.7,8.9,1996,2020,60,24,24.967113211092915
"Chimezie Metu","Sacramento Kings",24,Forward-Center,2.06,102,"Southern California",USA,2,4.9,2.6,0.7,8.8,1997,2018,49,22,24.036195682910737
"Khris Middleton","Milwaukee Bucks",29,Forward,2.01,101,"Texas A&M",USA,8,20.3,6,5.6,12.4,1991,2012,39,21,24.999381203435565
"Darius Miller",N/A,31,Foward,1.98,102,Kentucky,USA,5,4.1,1.3,1.2,11.5,1990,2012,46,26,26.017753290480563
"Patty Mills","San Antonio Spurs",32,Guard,1.85,82,"St.Mary's College of California",Australia,11,11.7,1.7,2.4,8.5,1988,2009,55,21,23.959094229364496
"Paul Millsap","Denver Nuggets",36,Forward,2.01,117,"Louisiana Tech",USA,14,9,4.8,1.7,9.5,1985,2006,47,22,28.959679215861
"Shake Milton","Philadelphia 76ers",24,Guard-Forward,1.96,93,"Southern Methodist",USA,2,13.4,2.3,3,9.8,1996,2018,54,22,24.20866305705956
"Donovan Mitchell","Utah Jazz",24,Guard,1.85,98,Louisville,USA,3,26.4,4.4,5.2,13.8,1996,2017,13,21,28.634039444850252
"Adam Mokoka","Chicago Bulls",22,Guard,1.93,86,"Mega Basket",France,1,1.4,0.5,0.5,5,1998,Undrafted,Undrafted,21,23.087868130688072
"Malik Monk","Charlotte Hornets",23,Guard,1.91,91,Kentucky,USA,3,13.1,2.7,1.9,10.4,1998,2017,11,20,24.94449165318933
"E'Twaun Moore","Phoenix Suns",32,Guard,1.91,87,Purdue,USA,9,4.3,1.8,1.5,5.5,1989,2011,55,23,23.84803048162057
"Ja Morant","Memphis Grizzlies",21,Guard,1.91,79,"Murray State",USA,1,19.1,3.7,7.3,11.1,1999,2019,2,20,21.655108138483047
"Juwan Morgan","Utah Jazz",24,Forward,2.01,105,Indiana,USA,1,1.2,1,0.3,5.1,1997,Undrafted,Undrafted,23,25.989455706541925
