id,name,player_link,team,team_link,age,number,position,height,weight,last_attended,country,birth_date,experience,draft
121,"Hamidou Diallo",https://www.nba.com/player/1628977/hamidou-diallo/,"Detroit Pistons ",https://www.nba.com/team/1610612765/pistons/,22,"6 ",Guard,2,92,Kentucky,USA,1998-07-31,2,"2018 R2 Pick 45"
122,"Gorgui Dieng",https://www.nba.com/player/203476/gorgui-dieng/,"San Antonio Spurs ",https://www.nba.com/team/1610612759/spurs/,31,"14 ",Center,2,114,Louisville,Senegal,1990-01-18,7,"2013 R1 Pick 21"
123,"Spencer Dinwiddie",https://www.nba.com/player/203915/spencer-dinwiddie/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,27,"26 ",Guard,2,98,Colorado,USA,1993-04-06,6,"2014 R2 Pick 38"
124,"Luka Doncic",https://www.nba.com/player/1629029/luka-doncic/,"Dallas Mavericks ",https://www.nba.com/team/1610612742/mavericks/,22,"77 ",Forward-Guard,2,104,"Real Madrid",Slovenia,1999-02-28,2,"2018 R1 Pick 3"
125,"Luguentz Dort",https://www.nba.com/player/1629652/luguentz-dort/,"Oklahoma City Thunder ",https://www.nba.com/team/1610612760/thunder/,21,"5 ",Guard,2,98,"Arizona State",Canada,1999-04-19,1,Undrafted
126,"Damyean Dotson",https://www.nba.com/player/1628422/damyean-dotson/,"Cleveland Cavaliers ",https://www.nba.com/team/1610612739/cavaliers/,26,"21 ",Guard,2,95,Houston,USA,1994-05-06,3,"2017 R2 Pick 44"
127,"Devon Dotson",https://www.nba.com/player/1629653/devon-dotson/,"Chicago Bulls ",https://www.nba.com/team/1610612741/bulls/,21,"3 ",Guard,2,84,Kansas,USA,1999-08-02,Rookie,Undrafted
128,"Sekou Doumbouya",https://www.nba.com/player/1629635/sekou-doumbouya/,"Detroit Pistons ",https://www.nba.com/team/1610612765/pistons/,20,"45 ",Forward,2,104,Limoges,France,2000-12-23,1,"2019 R1 Pick 15"
129,"PJ Dozier",https://www.nba.com/player/1628408/pj-dozier/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,24,"35 ",Guard-Forward,2,93,"South Carolina",USA,1996-10-25,3,Undrafted
130,"Goran Dragic",https://www.nba.com/player/201609/goran-dragic/,"Miami Heat ",https://www.nba.com/team/1610612748/heat/,34,"7 ",Guard,2,86,"Union Olimpija",Slovenia,1986-05-06,12,"2008 R2 Pick 45"
131,"Andre Drummond",https://www.nba.com/player/203083/andre-drummond/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,27,"2 ",Center,2,127,Connecticut,USA,1993-08-10,8,"2012 R1 Pick 9"
132,"Jared Dudley",https://www.nba.com/player/201162/jared-dudley/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,35,"10 ",Forward,2,108,"Boston College",USA,1985-07-10,13,"2007 R1 Pick 22"
133,"Kris Dunn",https://www.nba.com/player/1627739/kris-dunn/,"Atlanta Hawks ",https://www.nba.com/team/1610612737/hawks/,27,"32 ",Guard,2,93,Providence,USA,1994-03-18,4,"2016 R1 Pick 5"
134,"Kevin Durant",https://www.nba.com/player/201142/kevin-durant/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,32,"7 ",Forward,2,109,Texas,USA,1988-09-29,12,"2007 R1 Pick 2"
135,"Anthony Edwards",https://www.nba.com/player/1630162/anthony-edwards/,"Minnesota Timberwolves ",https://www.nba.com/team/1610612750/timberwolves/,19,"1 ",Guard,2,102,Georgia,USA,2001-08-05,Rookie,"2020 R1 Pick 1"
136,"Carsen Edwards",https://www.nba.com/player/1629035/carsen-edwards/,"Boston Celtics ",https://www.nba.com/team/1610612738/celtics/,23,"4 ",Guard,2,91,Purdue,USA,1998-03-12,1,"2019 R2 Pick 33"
137,"CJ Elleby",https://www.nba.com/player/1629604/cj-elleby/,"Portland Trail Blazers ",https://www.nba.com/team/1610612757/blazers/,20,"16 ",Forward-Guard,2,91,"Washington State",USA,2000-06-16,Rookie,"2020 R2 Pick 46"
138,"Henry Ellenson",https://www.nba.com/player/1627740/henry-ellenson/,NULL,NULL,24,NULL,Foward-Center,2,109,Marquette,USA,1997-01-13,4,"2016 R1 Pick 18"
139,"Wayne Ellington",https://www.nba.com/player/201961/wayne-ellington/,"Detroit Pistons ",https://www.nba.com/team/1610612765/pistons/,33,"8 ",Guard,2,94,"North Carolina",USA,1987-11-29,11,"2009 R1 Pick 28"
140,"Joel Embiid",https://www.nba.com/player/203954/joel-embiid/,"Philadelphia 76ers ",https://www.nba.com/team/1610612755/sixers/,27,"21 ",Center-Forward,2,127,Kansas,Cameroon,1994-03-16,4,"2014 R1 Pick 3"
141,"James Ennis III",https://www.nba.com/player/203516/james-ennis-iii/,"Orlando Magic ",https://www.nba.com/team/1610612753/magic/,30,"11 ",Forward,2,98,"California State-Long Beach",USA,1990-07-01,6,"2013 R2 Pick 50"
142,"Drew Eubanks",https://www.nba.com/player/1629234/drew-eubanks/,"San Antonio Spurs ",https://www.nba.com/team/1610612759/spurs/,24,"14 ",Forward-Center,2,111,"Oregon State",USA,1997-02-01,2,Undrafted
143,"Dante Exum",https://www.nba.com/player/203957/dante-exum/,"Houston Rockets ",https://www.nba.com/team/1610612745/rockets/,25,"5 ",Guard,2,97,"Australian Institute of Sport",Australia,1995-07-13,5,"2014 R1 Pick 5"
144,"Tacko Fall",https://www.nba.com/player/1629605/tacko-fall/,"Boston Celtics ",https://www.nba.com/team/1610612738/celtics/,25,"99 ",Center,2,141,"Central Florida",Senegal,1995-12-10,1,Undrafted
145,"Derrick Favors",https://www.nba.com/player/202324/derrick-favors/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,29,"15 ",Forward,2,120,"Georgia Tech",USA,1991-07-15,10,"2010 R1 Pick 3"
146,"Cristiano Felicio",https://www.nba.com/player/1626245/cristiano-felicio/,"Chicago Bulls ",https://www.nba.com/team/1610612741/bulls/,28,"6 ",Forward-Center,2,122,Flamengo,Brazil,1992-07-07,5,Undrafted
147,"Terrance Ferguson",https://www.nba.com/player/1628390/terrance-ferguson/,NULL,NULL,22,NULL,Guard,2,86,Adelaide,USA,1998-05-17,3,"2017 R1 Pick 21"
148,"Bruno Fernando",https://www.nba.com/player/1628981/bruno-fernando/,"Atlanta Hawks ",https://www.nba.com/team/1610612737/hawks/,22,"24 ",Forward-Center,2,109,Maryland,Angola,1998-08-15,1,"2019 R2 Pick 34"
149,"Yogi Ferrell",https://www.nba.com/player/1627812/yogi-ferrell/,NULL,NULL,27,NULL,Guard,2,81,Indiana,USA,1993-05-09,4,Undrafted
150,"Dorian Finney-Smith",https://www.nba.com/player/1627827/dorian-finney-smith/,"Dallas Mavericks ",https://www.nba.com/team/1610612742/mavericks/,27,"10 ",Forward,2,100,Florida,USA,1993-05-04,4,Undrafted
151,"Malachi Flynn",https://www.nba.com/player/1630201/malachi-flynn/,"Toronto Raptors ",https://www.nba.com/team/1610612761/raptors/,22,"8 ",Guard,2,79,"San Diego State",USA,1998-05-10,Rookie,"2020 R1 Pick 29"
152,"Bryn Forbes",https://www.nba.com/player/1627854/bryn-forbes/,"Milwaukee Bucks ",https://www.nba.com/team/1610612749/bucks/,27,"7 ",Guard,2,93,"Michigan State",USA,1993-07-23,4,Undrafted
153,"Trent Forrest",https://www.nba.com/player/1630235/trent-forrest/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,22,"3 ",Guard,2,95,"Florida State",USA,1998-06-12,Rookie,Undrafted
154,"Evan Fournier",https://www.nba.com/player/203095/evan-fournier/,"Boston Celtics ",https://www.nba.com/team/1610612738/celtics/,28,"94 ",Guard-Forward,2,93,"Poitiers Basket 86",France,1992-10-29,8,"2012 R1 Pick 20"
155,"De'Aaron Fox",https://www.nba.com/player/1628368/deaaron-fox/,"Sacramento Kings ",https://www.nba.com/team/1610612758/kings/,23,"5 ",Guard,2,84,Kentucky,USA,1997-12-20,3,"2017 R1 Pick 5"
156,"Tim Frazier",https://www.nba.com/player/204025/tim-frazier/,NULL,NULL,30,NULL,Guard,2,77,"Penn State",USA,1990-11-01,6,Undrafted
157,"Markelle Fultz",https://www.nba.com/player/1628365/markelle-fultz/,"Orlando Magic ",https://www.nba.com/team/1610612753/magic/,22,"20 ",Guard,2,95,Washington,USA,1998-05-29,3,"2017 R1 Pick 1"
158,"Wenyen Gabriel",https://www.nba.com/player/1629117/wenyen-gabriel/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,24,"32 ",Forward,2,93,Kentucky,"South Sudan",1997-03-26,1,Undrafted
159,"Daniel Gafford",https://www.nba.com/player/1629655/daniel-gafford/,"Washington Wizards ",https://www.nba.com/team/1610612764/wizards/,22,"21 ",Forward-Center,2,106,Arkansas,USA,1998-10-01,1,"2019 R2 Pick 38"
160,"Danilo Gallinari",https://www.nba.com/player/201568/danilo-gallinari/,"Atlanta Hawks ",https://www.nba.com/team/1610612737/hawks/,32,"8 ",Forward,2,106,"Olimpia Milano",Italy,1988-08-08,11,"2008 R1 Pick 6"
161,"Langston Galloway",https://www.nba.com/player/204038/langston-galloway/,"Phoenix Suns ",https://www.nba.com/team/1610612756/suns/,29,"2 ",Guard,2,91,"St. Joseph's (PA)",USA,1991-12-09,6,Undrafted
162,"Darius Garland",https://www.nba.com/player/1629636/darius-garland/,"Cleveland Cavaliers ",https://www.nba.com/team/1610612739/cavaliers/,21,"10 ",Guard,2,87,Vanderbilt,USA,2000-01-26,1,"2019 R1 Pick 5"
163,"Marc Gasol",https://www.nba.com/player/201188/marc-gasol/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,36,"14 ",Center,2,116,"FC Barcelona",Spain,1985-01-29,12,"2007 R2 Pick 48"
164,"Rudy Gay",https://www.nba.com/player/200752/rudy-gay/,"San Antonio Spurs ",https://www.nba.com/team/1610612759/spurs/,34,"22 ",Forward-Guard,2,113,Connecticut,USA,1986-08-17,14,"2006 R1 Pick 8"
165,"Paul George",https://www.nba.com/player/202331/paul-george/,"LA Clippers ",https://www.nba.com/team/1610612746/clippers/,30,"13 ",Forward,2,100,"Fresno State",USA,1990-05-02,10,"2010 R1 Pick 10"
166,"Taj Gibson",https://www.nba.com/player/201959/taj-gibson/,"New York Knicks ",https://www.nba.com/team/1610612752/knicks/,35,"67 ",Forward,2,105,"Southern California",USA,1985-06-24,11,"2009 R1 Pick 26"
167,"Harry Giles III",https://www.nba.com/player/1628385/harry-giles-iii/,"Portland Trail Blazers ",https://www.nba.com/team/1610612757/blazers/,22,"4 ",Forward-Center,2,109,Duke,USA,1998-04-22,2,"2017 R1 Pick 20"
168,"Shai Gilgeous-Alexander",https://www.nba.com/player/1628983/shai-gilgeous-alexander/,"Oklahoma City Thunder ",https://www.nba.com/team/1610612760/thunder/,22,"2 ",Guard-Forward,2,82,Kentucky,Canada,1998-07-12,2,"2018 R1 Pick 11"
169,"Anthony Gill",https://www.nba.com/player/1630264/anthony-gill/,"Washington Wizards ",https://www.nba.com/team/1610612764/wizards/,28,"16 ",Forward,2,104,Virginia,USA,1992-10-17,Rookie,Undrafted
170,"Rudy Gobert",https://www.nba.com/player/203497/rudy-gobert/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,28,"27 ",Center,2,117,Cholet,France,1992-06-26,7,"2013 R1 Pick 27"
171,"Brandon Goodwin",https://www.nba.com/player/1629164/brandon-goodwin/,"Atlanta Hawks ",https://www.nba.com/team/1610612737/hawks/,25,"0 ",Guard,2,82,"Florida Gulf Coast",USA,1995-10-02,2,Undrafted
172,"Aaron Gordon",https://www.nba.com/player/203932/aaron-gordon/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,25,"50 ",Forward,2,107,Arizona,USA,1995-09-16,6,"2014 R1 Pick 4"
173,"Eric Gordon",https://www.nba.com/player/201569/eric-gordon/,"Houston Rockets ",https://www.nba.com/team/1610612745/rockets/,32,"10 ",Guard,2,98,Indiana,USA,1988-12-25,12,"2008 R1 Pick 7"
174,"Devonte' Graham",https://www.nba.com/player/1628984/devonte-graham/,"Charlotte Hornets ",https://www.nba.com/team/1610612766/hornets/,26,"4 ",Guard,2,88,Kansas,USA,1995-02-22,2,"2018 R2 Pick 34"
175,"Jerami Grant",https://www.nba.com/player/203924/jerami-grant/,"Detroit Pistons ",https://www.nba.com/team/1610612765/pistons/,27,"9 ",Forward,2,95,Syracuse,USA,1994-03-12,6,"2014 R2 Pick 39"
176,"Danny Green",https://www.nba.com/player/201980/danny-green/,"Philadelphia 76ers ",https://www.nba.com/team/1610612755/sixers/,33,"14 ",Guard,2,98,"North Carolina",USA,1987-06-22,11,"2009 R2 Pick 46"
177,"Draymond Green",https://www.nba.com/player/203110/draymond-green/,"Golden State Warriors ",https://www.nba.com/team/1610612744/warriors/,31,"23 ",Forward,2,104,"Michigan State",USA,1990-03-04,8,"2012 R2 Pick 35"
178,"JaMychal Green",https://www.nba.com/player/203210/jamychal-green/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,30,"0 ",Forward-Center,2,103,Alabama,USA,1990-06-21,6,Undrafted
179,"Javonte Green",https://www.nba.com/player/1629750/javonte-green/,"Chicago Bulls ",https://www.nba.com/team/1610612741/bulls/,27,"11 ",Guard-Forward,2,93,"Radford ",USA,1993-07-23,1,Undrafted
180,"Jeff Green",https://www.nba.com/player/201145/jeff-green/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,34,"8 ",Forward,2,107,"Georgetown ",USA,1986-08-28,12,"2007 R1 Pick 5"
181,"Josh Green",https://www.nba.com/player/1630182/josh-green/,"Dallas Mavericks ",https://www.nba.com/team/1610612742/mavericks/,20,"8 ",Guard,2,91,Arizona,Australia,2000-11-16,Rookie,"2020 R1 Pick 18"
182,"Blake Griffin",https://www.nba.com/player/201933/blake-griffin/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,32,"2 ",Forward,2,113,Oklahoma,USA,1989-03-16,10,"2009 R1 Pick 1"
183,"Kyle Guy",https://www.nba.com/player/1629657/kyle-guy/,"Sacramento Kings ",https://www.nba.com/team/1610612758/kings/,23,"7 ",Guard,2,76,Virginia,USA,1997-08-11,1,"2019 R2 Pick 55"
184,"Rui Hachimura",https://www.nba.com/player/1629060/rui-hachimura/,"Washington Wizards ",https://www.nba.com/team/1610612764/wizards/,23,"8 ",Forward,2,104,Gonzaga,Japan,1998-02-08,1,"2019 R1 Pick 9"
185,"Ashton Hagans",https://www.nba.com/player/1630204/ashton-hagans/,NULL,NULL,21,NULL,Guard-Forward,2,86,Kentucky,USA,1999-07-08,Rookie,Undrafted
186,"Tyrese Haliburton",https://www.nba.com/player/1630169/tyrese-haliburton/,"Sacramento Kings ",https://www.nba.com/team/1610612758/kings/,21,"0 ",Guard,2,84,"Iowa State",USA,2000-02-29,Rookie,"2020 R1 Pick 12"
187,"Josh Hall",https://www.nba.com/player/1630221/josh-hall/,"Oklahoma City Thunder ",https://www.nba.com/team/1610612760/thunder/,20,"15 ",Forward,2,86,"Moravian Prep (NC)",USA,2000-10-08,Rookie,Undrafted
188,"R.J. Hampton",https://www.nba.com/player/1630181/rj-hampton/,"Orlando Magic ",https://www.nba.com/team/1610612753/magic/,20,"13 ",Guard,2,79,"New Zealand Breakers",USA,2001-02-07,Rookie,"2020 R1 Pick 24"
189,"Tim Hardaway Jr.",https://www.nba.com/player/203501/tim-hardaway-jr/,"Dallas Mavericks ",https://www.nba.com/team/1610612742/mavericks/,29,"11 ",Guard-Forward,2,93,Michigan,USA,1992-03-16,7,"2013 R1 Pick 24"
190,"James Harden",https://www.nba.com/player/201935/james-harden/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,31,"13 ",Guard,2,100,"Arizona State",USA,1989-08-26,11,"2009 R1 Pick 3"
191,"Maurice Harkless",https://www.nba.com/player/203090/maurice-harkless/,"Sacramento Kings ",https://www.nba.com/team/1610612758/kings/,27,"8 ",Forward-Guard,2,100,"St. John's ",USA,1993-05-11,8,"2012 R1 Pick 15"
192,"Jared Harper",https://www.nba.com/player/1629607/jared-harper/,"New York Knicks ",https://www.nba.com/team/1610612752/knicks/,23,"0 ",Guard,2,79,Auburn,USA,1997-09-14,1,Undrafted
193,"Montrezl Harrell",https://www.nba.com/player/1626149/montrezl-harrell/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,27,"15 ",Forward-Center,2,109,Louisville,USA,1994-01-26,5,"2015 R2 Pick 32"
194,"Gary Harris",https://www.nba.com/player/203914/gary-harris/,"Orlando Magic ",https://www.nba.com/team/1610612753/magic/,26,"14 ",Guard,2,95,"Michigan State",USA,1994-09-14,6,"2014 R1 Pick 19"
195,"Jalen Harris",https://www.nba.com/player/1630223/jalen-harris/,"Toronto Raptors ",https://www.nba.com/team/1610612761/raptors/,22,"2 ",Guard,2,88,Nevada,USA,1998-08-14,Rookie,"2020 R2 Pick 59"
196,"Joe Harris",https://www.nba.com/player/203925/joe-harris/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,29,"12 ",Guard-Forward,2,100,Virginia,USA,1991-09-06,6,"2014 R2 Pick 33"
197,"Tobias Harris",https://www.nba.com/player/202699/tobias-harris/,"Philadelphia 76ers ",https://www.nba.com/team/1610612755/sixers/,28,"12 ",Forward,2,103,Tennessee,USA,1992-07-15,9,"2011 R1 Pick 19"
198,"Shaquille Harrison",https://www.nba.com/player/1627885/shaquille-harrison/,NULL,NULL,27,NULL,Guard,2,86,Tulsa,USA,1993-10-06,3,Undrafted
199,"Josh Hart",https://www.nba.com/player/1628404/josh-hart/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,26,"3 ",Guard,2,98,Villanova,USA,1995-03-06,3,"2017 R1 Pick 30"
200,"Isaiah Hartenstein",https://www.nba.com/player/1628392/isaiah-hartenstein/,"Cleveland Cavaliers ",https://www.nba.com/team/1610612739/cavaliers/,22,"25 ",Center-Forward,2,113,Zalgiris,Germany,1998-05-05,2,"2017 R2 Pick 43"
201,"Udonis Haslem",https://www.nba.com/player/2617/udonis-haslem/,"Miami Heat ",https://www.nba.com/team/1610612748/heat/,40,"40 ",Forward,2,107,Florida,USA,1980-06-09,17,Undrafted
202,"Jaxson Hayes",https://www.nba.com/player/1629637/jaxson-hayes/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,20,"10 ",Center-Forward,2,100,Texas,USA,2000-05-23,1,"2019 R1 Pick 8"
203,"Killian Hayes",https://www.nba.com/player/1630165/killian-hayes/,"Detroit Pistons ",https://www.nba.com/team/1610612765/pistons/,19,"7 ",Guard,2,88,"Ratiopharm Ulm",France,2001-07-27,Rookie,"2020 R1 Pick 7"
204,"Gordon Hayward",https://www.nba.com/player/202330/gordon-hayward/,"Charlotte Hornets ",https://www.nba.com/team/1610612766/hornets/,31,"20 ",Forward,2,102,Butler,USA,1990-03-23,10,"2010 R1 Pick 9"
205,"Juancho Hernangomez",https://www.nba.com/player/1627823/juancho-hernangomez/,"Minnesota Timberwolves ",https://www.nba.com/team/1610612750/timberwolves/,25,"41 ",Forward,2,97,Estudiantes,Spain,1995-09-28,4,"2016 R1 Pick 15"
206,"Willy Hernangomez",https://www.nba.com/player/1626195/willy-hernangomez/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,26,"9 ",Center-Forward,2,113,"Cajasol Sevilla",Spain,1994-05-27,4,"2015 R2 Pick 35"
207,"Tyler Herro",https://www.nba.com/player/1629639/tyler-herro/,"Miami Heat ",https://www.nba.com/team/1610612748/heat/,21,"14 ",Guard,2,88,Kentucky,USA,2000-01-20,1,"2019 R1 Pick 13"
208,"Buddy Hield",https://www.nba.com/player/1627741/buddy-hield/,"Sacramento Kings ",https://www.nba.com/team/1610612758/kings/,28,"24 ",Guard,2,100,Oklahoma,Bahamas,1992-12-17,4,"2016 R1 Pick 6"
209,"George Hill",https://www.nba.com/player/201588/george-hill/,"Philadelphia 76ers ",https://www.nba.com/team/1610612755/sixers/,34,"33 ",Guard,2,85,"Indiana-Purdue Indianapolis",USA,1986-05-04,12,"2008 R1 Pick 26"
210,"Solomon Hill",https://www.nba.com/player/203524/solomon-hill/,"Atlanta Hawks ",https://www.nba.com/team/1610612737/hawks/,30,"18 ",Forward,2,103,Arizona,USA,1991-03-18,7,"2013 R1 Pick 23"
211,"Nate Hinton",https://www.nba.com/player/1630207/nate-hinton/,"Dallas Mavericks ",https://www.nba.com/team/1610612742/mavericks/,21,"14 ",Guard-Forward,2,95,Houston,USA,1999-06-08,Rookie,Undrafted
212,"Aaron Holiday",https://www.nba.com/player/1628988/aaron-holiday/,"Indiana Pacers ",https://www.nba.com/team/1610612754/pacers/,24,"3 ",Guard,2,84,UCLA,USA,1996-09-30,2,"2018 R1 Pick 23"
213,"Jrue Holiday",https://www.nba.com/player/201950/jrue-holiday/,"Milwaukee Bucks ",https://www.nba.com/team/1610612749/bucks/,30,"21 ",Guard,2,93,UCLA,USA,1990-06-12,11,"2009 R1 Pick 17"
214,"Justin Holiday",https://www.nba.com/player/203200/justin-holiday/,"Indiana Pacers ",https://www.nba.com/team/1610612754/pacers/,32,"8 ",Forward-Guard,2,82,Washington,USA,1989-04-05,7,Undrafted
215,"Richaun Holmes",https://www.nba.com/player/1626158/richaun-holmes/,"Sacramento Kings ",https://www.nba.com/team/1610612758/kings/,27,"22 ",Forward,2,107,"Bowling Green",USA,1993-10-15,5,"2015 R2 Pick 37"
216,"Rodney Hood",https://www.nba.com/player/203918/rodney-hood/,"Toronto Raptors ",https://www.nba.com/team/1610612761/raptors/,28,"32 ",Guard-Forward,2,94,Duke,USA,1992-10-20,6,"2014 R1 Pick 23"
217,"Al Horford",https://www.nba.com/player/201143/al-horford/,"Oklahoma City Thunder ",https://www.nba.com/team/1610612760/thunder/,34,"42 ",Center-Forward,2,109,Florida,"Dominican Republic",1986-06-03,13,"2007 R1 Pick 3"
218,"Talen Horton-Tucker",https://www.nba.com/player/1629659/talen-horton-tucker/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,20,"5 ",Guard,2,106,"Iowa State",USA,2000-11-25,1,"2019 R2 Pick 46"
219,"Danuel House Jr.",https://www.nba.com/player/1627863/danuel-house-jr/,"Houston Rockets ",https://www.nba.com/team/1610612745/rockets/,27,"4 ",Forward-Guard,2,100,"Texas A&M",USA,1993-06-07,4,Undrafted
220,"Dwight Howard",https://www.nba.com/player/2730/dwight-howard/,"Philadelphia 76ers ",https://www.nba.com/team/1610612755/sixers/,35,"39 ",Center-Forward,2,120,"SW Atlanta Christian Academy (GA)",USA,1985-12-08,16,"2004 R1 Pick 1"
221,"Markus Howard",https://www.nba.com/player/1630210/markus-howard/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,22,"00 ",Guard,2,79,Marquette,USA,1999-03-03,Rookie,Undrafted
222,"Kevin Huerter",https://www.nba.com/player/1628989/kevin-huerter/,"Atlanta Hawks ",https://www.nba.com/team/1610612737/hawks/,22,"3 ",Guard-Forward,2,86,Maryland,USA,1998-08-27,2,"2018 R1 Pick 19"
223,"Elijah Hughes",https://www.nba.com/player/1630190/elijah-hughes/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,23,"33 ",Guard,2,98,Syracuse,USA,1998-03-10,Rookie,"2020 R2 Pick 39"
224,"De'Andre Hunter",https://www.nba.com/player/1629631/deandre-hunter/,"Atlanta Hawks ",https://www.nba.com/team/1610612737/hawks/,23,"12 ",Forward-Guard,2,102,Virginia,USA,1997-12-02,1,"2019 R1 Pick 4"
225,"Chandler Hutchison",https://www.nba.com/player/1628990/chandler-hutchison/,"Washington Wizards ",https://www.nba.com/team/1610612764/wizards/,24,"1 ",Forward-Guard,2,95,"Boise State",USA,1996-04-26,2,"2018 R1 Pick 22"
226,"Serge Ibaka",https://www.nba.com/player/201586/serge-ibaka/,"LA Clippers ",https://www.nba.com/team/1610612746/clippers/,31,"9 ",Forward,2,107,"Ricoh Manresa","Republic of the Congo",1989-09-18,11,"2008 R1 Pick 24"
227,"Andre Iguodala",https://www.nba.com/player/2738/andre-iguodala/,"Miami Heat ",https://www.nba.com/team/1610612748/heat/,37,"28 ",Guard-Forward,2,98,Arizona,USA,1984-01-28,16,"2004 R1 Pick 9"
228,"Ersan Ilyasova",https://www.nba.com/player/101141/ersan-ilyasova/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,33,"7 ",Forward,2,107,"FC Barcelona",Turkey,1987-05-15,12,"2005 R2 Pick 36"
229,"Joe Ingles",https://www.nba.com/player/204060/joe-ingles/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,33,"2 ",Forward-Guard,2,100,"Maccabi Tel Aviv",Australia,1987-10-02,6,Undrafted
230,"Brandon Ingram",https://www.nba.com/player/1627742/brandon-ingram/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,23,"14 ",Forward,2,86,Duke,USA,1997-09-02,4,"2016 R1 Pick 2"
231,"Kyrie Irving",https://www.nba.com/player/202681/kyrie-irving/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,29,"11 ",Guard,2,88,Duke,Australia,1992-03-23,9,"2011 R1 Pick 1"
232,"Jonathan Isaac",https://www.nba.com/player/1628371/jonathan-isaac/,"Orlando Magic ",https://www.nba.com/team/1610612753/magic/,23,"1 ",Forward,2,104,"Florida State",USA,1997-10-03,3,"2017 R1 Pick 6"
233,"Wes Iwundu",https://www.nba.com/player/1628411/wes-iwundu/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,26,"4 ",Forward,2,88,"Kansas State",USA,1994-12-20,3,"2017 R2 Pick 33"
234,"Frank Jackson",https://www.nba.com/player/1628402/frank-jackson/,"Detroit Pistons ",https://www.nba.com/team/1610612765/pistons/,22,"5 ",Guard,2,93,Duke,USA,1998-05-04,2,"2017 R2 Pick 31"
235,"Josh Jackson",https://www.nba.com/player/1628367/josh-jackson/,"Detroit Pistons ",https://www.nba.com/team/1610612765/pistons/,24,"20 ",Guard-Forward,2,94,Kansas,USA,1997-02-10,3,"2017 R1 Pick 4"
236,"Justin Jackson",https://www.nba.com/player/1628382/justin-jackson/,"Oklahoma City Thunder ",https://www.nba.com/team/1610612760/thunder/,26,"44 ",Forward,2,100,"North Carolina",USA,1995-03-28,3,"2017 R1 Pick 15"
237,"Reggie Jackson",https://www.nba.com/player/202704/reggie-jackson/,"LA Clippers ",https://www.nba.com/team/1610612746/clippers/,30,"1 ",Guard,2,94,"Boston College",USA,1990-04-16,9,"2011 R1 Pick 24"
238,"Jaren Jackson Jr.",https://www.nba.com/player/1628991/jaren-jackson-jr/,"Memphis Grizzlies ",https://www.nba.com/team/1610612763/grizzlies/,21,"13 ",Forward-Center,2,110,"Michigan State",USA,1999-09-15,2,"2018 R1 Pick 4"
239,"Justin James",https://www.nba.com/player/1629713/justin-james/,"Sacramento Kings ",https://www.nba.com/team/1610612758/kings/,24,"10 ",Guard-Forward,2,86,Wyoming,USA,1997-01-24,1,"2019 R2 Pick 40"
240,"LeBron James",https://www.nba.com/player/2544/lebron-james/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,36,"23 ",Forward,2,113,"St. Vincent-St. Mary HS (OH)",USA,1984-12-30,17,"2003 R1 Pick 1"
241,"DaQuan Jeffries",https://www.nba.com/player/1629610/daquan-jeffries/,NULL,NULL,23,NULL,Guard-Forward,2,104,Tulsa,USA,1997-08-30,1,Undrafted
242,"Ty Jerome",https://www.nba.com/player/1629660/ty-jerome/,"Oklahoma City Thunder ",https://www.nba.com/team/1610612760/thunder/,23,"16 ",Guard-Forward,2,88,Virginia,USA,1997-07-08,1,"2019 R1 Pick 24"
