id,name,player_link,team,team_link,age,number,position,height,weight,last_attended,country,birth_date,experience,draft
27,"Lonzo Ball",https://www.nba.com/player/1628366/lonzo-ball/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,23,"2 ",Guard,2,86,UCLA,USA,1997-10-27,3,"2017 R1 Pick 2"
28,"Mo Bamba",https://www.nba.com/player/1628964/mo-bamba/,"Orlando Magic ",https://www.nba.com/team/1610612753/magic/,22,"5 ",Center,2,105,Texas-Austin,USA,1998-05-12,2,"2018 R1 Pick 6"
29,"Desmond Bane",https://www.nba.com/player/1630217/desmond-bane/,"Memphis Grizzlies ",https://www.nba.com/team/1610612763/grizzlies/,22,"22 ",Guard,2,98,TCU,USA,1998-06-25,Rookie,"2020 R1 Pick 30"
30,"Harrison Barnes",https://www.nba.com/player/203084/harrison-barnes/,"Sacramento Kings ",https://www.nba.com/team/1610612758/kings/,28,"40 ",Forward,2,102,"North Carolina",USA,1992-05-30,8,"2012 R1 Pick 7"
31,"RJ Barrett",https://www.nba.com/player/1629628/rj-barrett/,"New York Knicks ",https://www.nba.com/team/1610612752/knicks/,20,"9 ",Forward-Guard,2,97,Duke,Canada,2000-06-14,1,"2019 R1 Pick 3"
32,"Will Barton",https://www.nba.com/player/203115/will-barton/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,30,"5 ",Guard,2,82,Memphis,USA,1991-01-06,8,"2012 R2 Pick 40"
33,"Keita Bates-Diop",https://www.nba.com/player/1628966/keita-bates-diop/,"San Antonio Spurs ",https://www.nba.com/team/1610612759/spurs/,25,"31 ",Forward,2,104,"Ohio State",USA,1996-01-23,2,"2018 R2 Pick 48"
34,"Nicolas Batum",https://www.nba.com/player/201587/nicolas-batum/,"LA Clippers ",https://www.nba.com/team/1610612746/clippers/,32,"33 ",Guard-Forward,2,104,"Le Mans",France,1988-12-14,12,"2008 R1 Pick 25"
35,"Aron Baynes",https://www.nba.com/player/203382/aron-baynes/,"Toronto Raptors ",https://www.nba.com/team/1610612761/raptors/,34,"46 ",Center-Forward,2,118,"Washington State",Australia,1986-12-09,8,Undrafted
36,"Kent Bazemore",https://www.nba.com/player/203145/kent-bazemore/,"Golden State Warriors ",https://www.nba.com/team/1610612744/warriors/,31,"26 ",Guard-Forward,2,88,"Old Dominion",USA,1989-07-01,8,Undrafted
37,"Darius Bazley",https://www.nba.com/player/1629647/darius-bazley/,"Oklahoma City Thunder ",https://www.nba.com/team/1610612760/thunder/,20,"7 ",Forward-Guard,2,94,"Princeton HS (OH)",USA,2000-06-12,1,"2019 R1 Pick 23"
38,"Bradley Beal",https://www.nba.com/player/203078/bradley-beal/,"Washington Wizards ",https://www.nba.com/team/1610612764/wizards/,27,"3 ",Guard,2,94,Florida,USA,1993-06-28,8,"2012 R1 Pick 3"
39,"Malik Beasley",https://www.nba.com/player/1627736/malik-beasley/,"Minnesota Timberwolves ",https://www.nba.com/team/1610612750/timberwolves/,24,"5 ",Guard,2,85,"Florida State",USA,1996-11-26,4,"2016 R1 Pick 19"
40,"Jordan Bell",https://www.nba.com/player/1628395/jordan-bell/,NULL,NULL,26,NULL,Foward,2,98,Oregon,USA,1995-01-07,3,"2017 R2 Pick 38"
41,"DeAndre' Bembry",https://www.nba.com/player/1627761/deandre-bembry/,"Toronto Raptors ",https://www.nba.com/team/1610612761/raptors/,26,"95 ",Guard-Forward,2,95,"St. Joseph's (PA)",USA,1994-07-04,4,"2016 R1 Pick 21"
42,"Davis Bertans",https://www.nba.com/player/202722/davis-bertans/,"Washington Wizards ",https://www.nba.com/team/1610612764/wizards/,28,"42 ",Forward,2,102,Baskonia,Latvia,1992-11-12,4,"2011 R2 Pick 42"
43,"Patrick Beverley",https://www.nba.com/player/201976/patrick-beverley/,"LA Clippers ",https://www.nba.com/team/1610612746/clippers/,32,"21 ",Guard,2,82,Arkansas,USA,1988-07-12,8,"2009 R2 Pick 42"
44,"Saddiq Bey",https://www.nba.com/player/1630180/saddiq-bey/,"Detroit Pistons ",https://www.nba.com/team/1610612765/pistons/,21,"41 ",Forward,2,98,Villanova,USA,1999-04-09,Rookie,"2020 R1 Pick 19"
45,"Tyler Bey",https://www.nba.com/player/1630189/tyler-bey/,"Dallas Mavericks ",https://www.nba.com/team/1610612742/mavericks/,23,"2 ",Forward,2,98,Colorado,USA,1998-02-10,Rookie,"2020 R2 Pick 36"
46,"Khem Birch",https://www.nba.com/player/203920/khem-birch/,"Orlando Magic ",https://www.nba.com/team/1610612753/magic/,28,"24 ",Center,2,106,UNLV,Canada,1992-09-28,3,Undrafted
47,"Goga Bitadze",https://www.nba.com/player/1629048/goga-bitadze/,"Indiana Pacers ",https://www.nba.com/team/1610612754/pacers/,21,"88 ",Center-Forward,2,113,"Mega Basket",Georgia,1999-07-20,1,"2019 R1 Pick 18"
48,"Bismack Biyombo",https://www.nba.com/player/202687/bismack-biyombo/,"Charlotte Hornets ",https://www.nba.com/team/1610612766/hornets/,28,"8 ",Center,2,116,"Baloncesto Fuenlabrada",DRC,1992-08-28,9,"2011 R1 Pick 7"
49,"Nemanja Bjelica",https://www.nba.com/player/202357/nemanja-bjelica/,"Miami Heat ",https://www.nba.com/team/1610612748/heat/,32,"70 ",Forward,2,106,Fenerbahce,Serbia,1988-05-09,5,"2010 R2 Pick 35"
50,"Eric Bledsoe",https://www.nba.com/player/202339/eric-bledsoe/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,31,"5 ",Guard,2,97,Kentucky,USA,1989-12-09,10,"2010 R1 Pick 18"
51,"Keljin Blevins",https://www.nba.com/player/1629833/keljin-blevins/,"Portland Trail Blazers ",https://www.nba.com/team/1610612757/blazers/,25,"21 ",Guard,2,91,"Montana State",USA,1995-11-24,Rookie,"2019 "
52,"Bogdan Bogdanovic",https://www.nba.com/player/203992/bogdan-bogdanovic/,"Atlanta Hawks ",https://www.nba.com/team/1610612737/hawks/,28,"13 ",Guard,2,100,Fenerbahce,Serbia,1992-08-18,3,"2014 R1 Pick 27"
53,"Bojan Bogdanovic",https://www.nba.com/player/202711/bojan-bogdanovic/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,31,"44 ",Forward,2,103,Fenerbahce,Croatia,1989-04-18,6,"2011 R2 Pick 31"
54,"Bol Bol",https://www.nba.com/player/1629626/bol-bol/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,21,"10 ",Center-Forward,2,100,Oregon,Sudan,1999-11-16,1,"2019 R2 Pick 44"
55,"Marques Bolden",https://www.nba.com/player/1629716/marques-bolden/,NULL,NULL,22,NULL,Center,2,113,Duke,USA,1998-04-17,1,"2019 "
56,"Jordan Bone",https://www.nba.com/player/1629648/jordan-bone/,NULL,NULL,23,NULL,Guard,2,82,Tennessee,USA,1997-11-05,1,"2019 R2 Pick 57"
57,"Isaac Bonga",https://www.nba.com/player/1629067/isaac-bonga/,"Washington Wizards ",https://www.nba.com/team/1610612764/wizards/,21,"17 ",Guard,2,82,"Skyliners Frankfurt",Germany,1999-11-08,2,"2018 R2 Pick 39"
58,"Devin Booker",https://www.nba.com/player/1626164/devin-booker/,"Phoenix Suns ",https://www.nba.com/team/1610612756/suns/,24,"1 ",Guard,2,93,Kentucky,USA,1996-10-30,5,"2015 R1 Pick 13"
59,"Chris Boucher",https://www.nba.com/player/1628449/chris-boucher/,"Toronto Raptors ",https://www.nba.com/team/1610612761/raptors/,28,"25 ",Forward-Center,2,91,Oregon,"Saint Lucia",1993-01-11,3,Undrafted
60,"Brian Bowen II",https://www.nba.com/player/1628968/brian-bowen-ii/,"Indiana Pacers ",https://www.nba.com/team/1610612754/pacers/,22,"10 ",Forward-Guard,2,86,"Sydney Kings",USA,1998-10-02,1,Undrafted
